"País","Género","Edad_del_encuestado_calculada","Interés_en_la_política","Confianza_politicos","Confianza_parlamento","Confianza_partidos_politicos","Votó_en_la_última_elección_nacional","Participó_en_una_manifestación_pública_en_los_últimos_12_meses","Sentimiento_de_cercanía_hacia_un_partido_político_en_particular","Rango_Edad","Region_Geografica"
"Austria","Male",87,1,6,7,7,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Female",74,2,4,5,5,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Male",24,3,5,7,5,"Yes","No","Yes","Jóvenes (15-29)","Europa Occidental"
"Austria","Male",59,2,3,4,2,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Male",32,3,2,7,1,"No","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Female",47,3,2,4,2,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Austria","Male",45,1,0,6,0,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Austria","Male",44,2,5,6,3,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Male",20,3,2,3,2,"Yes","No","Yes","Jóvenes (15-29)","Europa Occidental"
"Austria","Male",33,1,4,6,5,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Male",27,3,7,7,7,"Yes","Yes","Yes","Jóvenes (15-29)","Europa Occidental"
"Austria","Male",28,3,2,4,2,"Yes","No","Yes","Jóvenes (15-29)","Europa Occidental"
"Austria","Male",73,2,1,3,1,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Male",62,2,6,8,5,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Male",58,2,6,7,6,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Austria","Male",38,3,5,4,3,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Female",74,2,3,7,3,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Male",42,2,5,6,5,"Yes","Yes","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Female",51,2,3,8,4,"No","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Male",76,2,1,5,1,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Male",28,4,0,0,0,"Yes","No","No","Jóvenes (15-29)","Europa Occidental"
"Austria","Male",18,3,7,9,6,"Yes","No","No","Jóvenes (15-29)","Europa Occidental"
"Austria","Male",64,3,0,0,0,"No","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Male",59,3,3,4,5,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",49,2,0,3,0,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Male",70,2,4,5,4,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",71,3,6,7,6,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Male",58,1,5,7,5,"No","No","Yes","Adultos (45-59)","Europa Occidental"
"Austria","Female",74,2,5,6,5,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Male",52,3,7,7,8,"Not eligible to vote","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Male",63,2,1,3,1,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",61,4,3,3,3,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",47,3,6,7,5,"No","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Male",70,2,4,5,4,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Male",68,2,2,3,2,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",50,3,3,5,3,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Austria","Male",62,1,0,2,1,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",64,3,10,10,8,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Male",39,2,9,9,7,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Female",43,3,7,10,7,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Male",47,4,1,2,2,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Female",30,3,3,4,3,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Female",77,2,8,7,8,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Female",48,2,2,4,4,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Austria","Female",35,3,0,1,0,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Male",53,4,1,4,3,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Male",50,2,3,4,2,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Female",42,3,7,7,7,"No","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Female",33,2,3,5,2,"Yes","Yes","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Male",23,2,4,4,4,"Not eligible to vote","No","No","Jóvenes (15-29)","Europa Occidental"
"Austria","Male",73,2,2,0,2,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Male",55,2,4,6,6,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Austria","Female",64,2,9,9,9,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",76,2,8,8,7,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Male",69,2,2,4,2,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",47,3,7,7,7,"No","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Female",57,3,2,5,2,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Female",57,2,2,5,1,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Austria","Male",90,2,6,6,6,"Yes","No","Yes",NA,"Europa Occidental"
"Austria","Male",44,2,8,10,4,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Female",72,3,0,1,0,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",54,2,2,3,2,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Austria","Female",24,3,3,3,3,"Yes","No","No","Jóvenes (15-29)","Europa Occidental"
"Austria","Female",42,3,6,6,6,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Male",17,3,8,9,8,"Not eligible to vote","No","No","Jóvenes (15-29)","Europa Occidental"
"Austria","Female",59,2,7,8,7,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",81,2,4,6,6,"No","No","No","Ancianos (75-90)","Europa Occidental"
"Austria","Male",62,1,5,3,5,"No","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",71,3,5,5,5,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Male",58,2,9,9,6,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Female",54,2,5,7,5,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Austria","Female",65,2,7,6,5,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",29,4,2,5,2,"No","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Female",67,3,5,5,3,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Male",25,3,4,4,2,"Yes","No","No","Jóvenes (15-29)","Europa Occidental"
"Austria","Male",44,2,4,4,2,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Female",70,1,4,4,1,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",61,3,1,6,1,"Not eligible to vote","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",64,2,0,3,0,"No","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Male",56,2,4,5,6,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Austria","Male",71,2,5,3,4,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Male",74,1,2,3,2,"Yes","Yes","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Female",39,2,5,7,5,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Male",69,1,6,7,6,"Yes","Yes","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",80,2,4,5,4,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Female",81,1,6,6,6,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Female",30,3,5,5,5,"No","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Female",70,1,7,6,7,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",66,3,2,3,1,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Male",68,3,0,0,0,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Male",52,2,2,4,2,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Male",76,2,5,6,5,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Female",77,1,6,7,5,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Female",40,4,4,3,1,"No","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Female",50,2,2,3,3,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Austria","Female",60,2,1,0,1,"No","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Male",65,2,2,3,1,"Yes","Yes","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Male",58,3,0,0,0,"No","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Male",89,1,5,8,5,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Female",84,3,0,0,0,"Yes","No","No","Ancianos (75-90)","Europa Occidental"
"Austria","Female",41,2,4,5,2,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Female",86,3,5,5,5,"No","No","No","Ancianos (75-90)","Europa Occidental"
"Austria","Female",60,2,1,1,1,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Male",61,2,2,8,2,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Male",51,2,5,6,4,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Austria","Male",36,3,7,6,6,"No","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Female",57,2,1,4,2,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Male",65,1,7,8,7,"Yes","Yes","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",47,2,4,5,7,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Female",26,2,3,4,3,"Yes","Yes","Yes","Jóvenes (15-29)","Europa Occidental"
"Austria","Female",75,2,3,8,4,"Yes","No","No","Ancianos (75-90)","Europa Occidental"
"Austria","Male",35,4,3,4,2,"No","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Female",28,3,10,10,10,"Yes","No","Yes","Jóvenes (15-29)","Europa Occidental"
"Austria","Male",67,1,3,6,6,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",63,3,0,1,0,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",51,3,5,6,3,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Female",21,4,0,3,0,"No","No","No","Jóvenes (15-29)","Europa Occidental"
"Austria","Female",66,2,3,3,3,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Male",52,2,4,5,4,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Austria","Female",76,2,4,5,3,"Yes","No","No","Ancianos (75-90)","Europa Occidental"
"Austria","Female",22,3,3,3,3,"No","No","No","Jóvenes (15-29)","Europa Occidental"
"Austria","Male",19,2,4,6,5,"Not eligible to vote","Yes","Yes","Jóvenes (15-29)","Europa Occidental"
"Austria","Male",51,3,3,3,2,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Male",43,2,2,2,2,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Female",41,3,3,5,2,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Female",80,3,10,10,10,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Female",52,3,0,1,0,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Male",53,3,8,10,8,"Yes","Yes","Yes","Adultos (45-59)","Europa Occidental"
"Austria","Male",33,3,3,6,4,"Not eligible to vote","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Female",44,2,10,10,8,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Austria","Female",56,4,0,6,3,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Austria","Male",32,4,6,6,5,"Not eligible to vote","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Female",35,2,4,7,4,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Male",69,2,3,5,1,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",34,3,7,5,10,"No","Yes","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Male",48,4,10,10,10,"Not eligible to vote","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Female",69,2,0,1,1,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",83,3,1,2,0,"No","No","No","Ancianos (75-90)","Europa Occidental"
"Austria","Male",66,1,7,8,7,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Male",71,3,3,4,3,"No","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Male",85,2,5,3,3,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Female",74,3,3,6,5,"Yes","No","No","Ancianos (75-90)","Europa Occidental"
"Austria","Female",27,3,4,5,4,"Not eligible to vote","No","No","Jóvenes (15-29)","Europa Occidental"
"Austria","Female",60,2,5,7,5,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",55,3,4,5,4,"No","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Male",52,1,2,5,2,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Austria","Male",49,4,5,8,4,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Austria","Male",76,1,5,5,5,"Yes","No","No","Ancianos (75-90)","Europa Occidental"
"Austria","Male",41,2,4,7,4,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Female",85,2,4,6,4,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Male",76,4,1,2,1,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Female",88,3,5,6,5,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Female",76,2,5,6,5,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Female",66,1,4,4,5,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Male",84,2,3,1,2,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Female",89,2,5,5,5,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Female",33,3,3,5,4,"Yes","Yes","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Female",34,3,8,8,7,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Male",44,2,9,7,8,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Austria","Male",37,2,5,6,6,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Male",24,2,5,7,5,"Yes","No","Yes","Jóvenes (15-29)","Europa Occidental"
"Austria","Female",76,2,5,4,4,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Male",69,2,3,4,3,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Male",82,2,3,3,3,"Yes","No","No","Ancianos (75-90)","Europa Occidental"
"Austria","Female",64,2,10,9,9,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",25,3,4,3,5,"Yes","No","Yes","Jóvenes (15-29)","Europa Occidental"
"Austria","Female",60,2,3,5,5,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",31,3,6,8,6,"Not eligible to vote","Yes","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Male",44,2,7,7,7,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Austria","Female",52,2,10,10,10,"Yes","Yes","Yes","Adultos (45-59)","Europa Occidental"
"Austria","Female",75,2,3,5,3,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Male",20,2,10,10,10,"Yes","No","Yes","Jóvenes (15-29)","Europa Occidental"
"Austria","Female",41,3,4,6,3,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Female",58,3,5,3,5,"No","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Male",72,2,5,4,5,"No","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",24,1,2,4,3,"Yes","No","Yes","Jóvenes (15-29)","Europa Occidental"
"Austria","Female",46,2,4,6,3,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Austria","Female",22,4,2,4,2,"No","No","No","Jóvenes (15-29)","Europa Occidental"
"Austria","Female",20,3,3,6,3,"Yes","Yes","No","Jóvenes (15-29)","Europa Occidental"
"Austria","Female",24,4,0,3,0,"Yes","No","No","Jóvenes (15-29)","Europa Occidental"
"Austria","Female",34,3,5,2,4,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Female",72,2,2,4,2,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Male",89,1,5,6,6,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Female",77,1,5,9,4,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Female",90,2,1,6,1,"Yes","No","Yes",NA,"Europa Occidental"
"Austria","Female",26,4,0,3,0,"No","No","No","Jóvenes (15-29)","Europa Occidental"
"Austria","Female",40,4,9,9,8,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Female",28,4,2,2,2,"Not eligible to vote","No","No","Jóvenes (15-29)","Europa Occidental"
"Austria","Female",64,3,4,5,2,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",49,3,5,6,3,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Female",30,4,3,6,3,"No","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Male",61,2,3,7,3,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",53,3,4,6,4,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Female",30,3,1,3,1,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Female",76,2,3,4,3,"Yes","No","No","Ancianos (75-90)","Europa Occidental"
"Austria","Male",29,3,7,7,3,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Female",72,3,5,3,5,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Male",58,1,1,1,0,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Austria","Female",63,3,0,1,0,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Male",18,3,5,5,5,"Not eligible to vote","No","No","Jóvenes (15-29)","Europa Occidental"
"Austria","Female",59,3,0,0,0,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Male",57,1,2,5,2,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Female",47,3,3,5,2,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Female",60,2,3,5,3,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Male",72,1,6,9,6,"Not eligible to vote","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",42,4,5,7,5,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Male",76,3,0,0,0,"No","No","No","Ancianos (75-90)","Europa Occidental"
"Austria","Male",54,2,1,3,1,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Female",65,3,5,5,3,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",71,2,6,4,6,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Male",43,2,6,7,7,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Male",56,2,5,3,5,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Female",64,3,2,3,2,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Male",48,3,2,1,2,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Female",70,3,4,4,3,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",22,1,2,5,2,"Yes","Yes","Yes","Jóvenes (15-29)","Europa Occidental"
"Austria","Male",60,2,5,5,5,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",73,2,1,4,1,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
